,Apple,Apple,Apple,Apple,Apple,Samsung,Samsung,Samsung,Samsung,Samsung
,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,
2015-05-13,28.136444091796875,28.399923276401505,28.105183993924086,28.167704189669664,138776800.0,20507.736328125,20753.890702656132,20400.043789267627,20753.890702656132,9877250.0
2015-05-14,28.79290771484375,28.79290771484375,28.393224793420348,28.449046639865216,180814000.0,20615.431640625,20661.585592059237,20430.81583488806,20630.816291103078,8488500.0
2015-05-15,28.75271224975586,28.91347941005312,28.62767188221232,28.819699134395467,152832000.0,20400.046875,20861.586397058825,20323.12362132353,20846.20174632353,8922350.0
2015-05-18,29.069778442382812,29.188120456362167,28.661162213945016,28.665628914593572,203531600.0,20307.7421875,20538.511985085228,20138.51100260417,20538.511985085228,9626850.0
2015-05-19,29.042985916137695,29.223848116196663,28.946970588357917,29.18142297650986,178532800.0,20584.669921875,20846.209076338284,20107.745581383126,20323.130767411716,8680900.0
2015-05-20,29.040748596191406,29.24617252387725,28.87998145155133,29.027351901987092,145819600.0,21015.4296875,21076.96828102123,20630.813477992313,20753.89066503477,10291450.0
2015-05-21,29.337724685668945,29.391314876050284,28.989396965926638,29.04298715630798,158921600.0,20800.05078125,21107.74384014423,20676.97355769231,21092.35918719952,7210600.0
2015-05-22,29.594511032104492,29.690526387530536,29.33996352778473,29.384623734268693,182384000.0,20769.283203125,20815.437165798612,20538.513389756947,20815.437165798612,8195800.0
2015-05-26,28.9425048828125,29.67712216380999,28.83086120910056,29.607903631243715,282790400.0,20953.900390625,21061.59297706727,20553.89935526799,21015.439011449154,10034150.0
2015-05-27,29.482866287231445,29.53198978694991,29.038526549453405,29.103278395212143,183332800.0,20215.42578125,21015.427410340562,20200.04113453672,20923.119530060885,17265450.0
2015-05-28,29.4248046875,29.462763125539038,29.272970935343846,29.44266808312325,122933200.0,20138.51171875,20323.127563383307,20015.434488994462,20261.588948505538,15048150.0
2015-05-29,29.089881896972656,29.351127743404934,29.005031595584374,29.302004243348065,203538000.0,20107.74609375,20323.131285266834,19953.899528380836,20307.746628729918,17380750.0
2015-06-01,29.147930145263672,29.337725761952687,29.038521520643027,29.08987665887506,128451200.0,19861.591796875,20015.438363853118,19815.437826781566,20000.053707155304,10921950.0
2015-06-02,29.018423080444336,29.174723530965508,28.875519324668655,28.99609298447233,134670400.0,20046.201171875,20046.201171875,19815.431396297005,20000.0472167594,8757550.0
2015-06-03,29.05414581298828,29.237243055991655,29.005022328626115,29.174722877184216,123934000.0,19584.662109375,20246.202149204633,19461.58489266251,20046.20167204684,11769400.0
2015-06-04,28.88445281982422,29.156863669648438,28.78397418995997,28.933576311241353,153800400.0,20569.279296875,20630.81790359714,20076.97044309789,20230.816959903237,19411950.0
2015-06-05,28.725908279418945,28.95812896724328,28.661156464927597,28.915703837327662,142507200.0,20630.8203125,20846.20546117636,20307.74258948546,20384.665856869873,9828150.0
2015-06-08,28.53611946105957,28.850955392058644,28.319530493529204,28.781733462637305,210699200.0,20215.42578125,20723.11912278824,20200.04113453672,20692.349829361683,10118950.0
2015-06-09,28.451276779174805,28.598647263681052,28.049360528202932,28.290509597367066,224301600.0,19723.126953125,20153.89727659419,19507.741791390406,20000.05073249805,13735250.0
2015-06-10,28.777278900146484,28.87998918795648,28.54729146556497,28.562921514172693,156349200.0,19415.431640625,19907.740525331814,19415.431640625,19723.12469356676,12501700.0
2015-06-11,28.7125186920166,29.06754475059088,28.687956947940076,28.844257407020468,141563600.0,19338.5078125,19600.04689986078,19276.969203709228,19430.81572568616,15314050.0
2015-06-12,28.395450592041016,28.654464723898236,28.38205389678882,28.623204632611635,147544800.0,19646.203125,19800.049664741582,19446.202623335943,19661.587778974157,11741500.0
2015-06-15,28.339630126953125,28.411082010997315,28.06945263717518,28.156534567618184,175955600.0,19538.509765625,19600.04837906004,19307.739965243603,19307.739965243603,8067800.0
2015-06-16,28.491464614868164,28.547286450596175,28.216822137072793,28.364190897550184,125976400.0,19307.73828125,19600.046669571715,19153.89176108068,19538.508061503984,12767600.0
2015-06-17,28.424476623535156,28.55398197492287,28.29943456545634,28.51825688943397,131672400.0,19292.357421875,19476.97328237141,19076.972251295854,19230.818801709527,9452300.0
2015-06-18,28.553987503051758,28.65000113774058,28.40661872861507,28.408852079248966,141628800.0,19461.587890625,19676.97305305089,19246.20272819911,19369.27996387105,8247600.0
2015-06-19,28.268178939819336,28.540589786812227,28.223522150021005,28.516028041358947,218867600.0,19476.97265625,19661.588510811613,19384.664728969194,19476.97265625,7094750.0
2015-06-22,28.493696212768555,28.594174829480085,28.37535420087142,28.46690111999015,136157200.0,19707.736328125,19938.506074355973,19630.813079381343,19861.582825612317,6370900.0
2015-06-23,28.36419677734375,28.493703871930418,28.330703328254426,28.46467712461172,121075600.0,20323.126953125,20430.819525927327,19861.587355400738,20138.511114035296,10159000.0
2015-06-24,28.605335235595703,28.982691305809436,28.384281292572282,28.404376331234936,221123600.0,20030.81640625,20169.278270809333,19861.58523845526,20000.047103014593,10198000.0
2015-06-25,28.46913719177246,28.848725006243843,28.46913719177246,28.772808124768485,127752400.0,19523.125,20046.203211189913,19523.125,19846.202718676122,10695800.0
2015-06-26,28.30167579650879,28.578551674447795,28.24808730157972,28.50709978002652,176267200.0,19661.58984375,19846.205710827464,19261.58879841549,19261.58879841549,10347500.0
2015-06-29,27.80596923828125,28.239147177225394,27.794805894589647,28.01362651067182,196645600.0,19723.171875,19784.758672423886,19338.2543911007,19538.411482728337,11519950.0
2015-06-30,28.006940841674805,28.16100970486589,27.879667081857587,28.038200943837083,177482800.0,19523.015625,19784.759525335172,19492.222224960566,19646.189225157726,9870350.0
2015-07-01,28.268178939819336,28.3440975267333,28.13197351632289,28.33516582806417,120955200.0,19938.7265625,20046.503462837838,19384.445360762547,19523.01566119691,8324900.0
2015-07-02,28.232454299926758,28.288276139840534,28.082850474261843,28.230220949336946,108844000.0,20000.314453125,20077.29795756351,19784.76064069717,19800.157341584872,8223000.0
2015-07-03,,,,,,19523.015625,19923.329825512617,19507.618924980285,19815.552925374606,7130200.0
2015-07-06,28.134206771850586,28.185563613137802,27.87742597250915,27.897522720333654,112241600.0,18937.94140625,19399.842416158535,18830.164503938006,19292.065513846544,10099950.0
2015-07-07,28.06498908996582,28.167701072115218,27.636276059999904,28.109645880970817,187787200.0,19091.90625,19384.443523185484,18783.972278225807,18783.972278225807,12478250.0
2015-07-08,27.368328094482422,27.83053280154354,27.361629747119487,27.794807714425502,243046400.0,19076.513671875,19261.274094847155,18968.736758474577,19091.910373789346,11780950.0
2015-07-09,26.810110092163086,27.701026076730777,26.620316199206663,27.654135941074284,314380000.0,19476.828125,19476.828125,18876.356744071145,18937.94355237154,14030500.0
2015-07-10,27.52686882019043,27.654142562746713,27.064663996849458,27.22766453905894,245418000.0,19384.447265625,19492.224176553813,19215.08354845115,19353.653862502484,9573400.0
2015-07-13,28.058290481567383,28.080618876862893,27.759084533255947,27.91761835446566,165762000.0,19492.220703125,19584.600896030806,19168.89002795468,19245.873522042853,7672050.0
2015-07-14,28.0471248626709,28.216823729856447,27.91985113816857,28.14313849368475,127072400.0,18860.96484375,19553.81661352041,18799.378019770407,19476.833083545916,19989700.0
2015-07-15,28.317302703857422,28.390987940927992,28.040426856633054,28.07168695050287,134596800.0,19014.927734375,19061.117842231783,18845.5640055668,18860.96070818573,8370650.0
2015-07-16,28.694656372070312,28.708056475146563,28.435643929657154,28.522725860632445,144889600.0,19738.572265625,19815.555776801386,18830.166833743664,18830.166833743664,11173450.0
